id_boure,Název,Data_aktivity,Nejvyssi_rychlost,Skoda_miliony_CZK,Pocet_umrti
1,Jeden,19. května - 25. května,995,"282,75",0
2,Dva,3. srpna - 10. srpna,972,"233,81",7
3,Tři,5. srpna - 14. srpna,972,"282,75",52
4,Čtyři,26. srpna - 2. září,961,"88,09",7
5,Pět,7. září - 17. září,988,"32,41",3
6,Šest,18. září-25. září,1002,"0,85",2
7,Sedm,22. září - 28. září,977,"282,75",0
8,Osm,20. října - 24. října,983,"282,75",0
9,Devět,24. října-26. října,1007,"282,75",0
10,9 cyklónů,19. května - 26. října,961,"637,275",71
